Sentiment,SentimentText,Processed_Text
0, Had to take comp inside as the baterry died...sadface,take comp insid baterri diedsadfac
0,"#NASCAR Things are looking better... for some #Kenseth is 2nd, #Kahne up to 11th, #Mears in 17th. And #Gordon... 29th. ",thing look better kenseth 2nd kahn 11th mear 17th gordon 29th
1,#leg ; japanese culture thingy  with mr harrison. LOOL awesome.,japanes cultur thingi mr harrison lool awesom
1,"#FollowFriday @JordanLeanne @KrisCamp Because they are two blonde bombshells show happen to be as equally nice. BTW, hey J and K. ",jordanleann kriscamp two blond bombshel show happen equal nice btw hey j k
1," just finished writing australia and put it up at lifesaclimb, what an accomplishment.",finish write australia put lifesaclimb accomplish
0,#stargirlinspace. so tired today  roll on 3pm,tire today roll 3pm
0, tired and feeling rough,feel rough
0, still haven't left the resort area. Big breakfast and some minor issues with the front desk. Free transportaion is nice but kind of slow,left resort area big breakfast minor issu front desk free transportaion nice kind slow
0, Didn't bring connector for camera on trip...saving new photos will have to wait another week...,bring connector camera tripsav new photo wait anoth week
1,"=-  awake, and ready for the day",awak readi day
1," There's a bear behind the office: http://bit.ly/G7Oi3   For once, I wish I didn't work from home.",bear behind offic httpbitlyg7oi3 wish work home
1,"#ahbl have misha'd! He's awfully handome, and much more tanned than castiel! Wee bit skinny but more than enuf to hug! Is a lovely hugged ",mishad he aw handom much tan castiel wee bit skinni enuf hug love hug
1, tweet tweet xD follow me people!,tweet xd follow peopl
1,#musicmonday @ http://www.reggaenews.de : Kafu Banton - Prakata; Eek a Mouse - Wa Do Dem (Live) &amp; Barrington Levy - Murderer(Live)   ,httpwwwreggaenewsd kafu banton prakata eek mous wa dem live amp barrington levi murdererl
0, not having a good day,good day
0, ...and i feel a shallow breath that squeezes past the fifty pounds of stone laid in my chest.,feel shallow breath squeez past fifti pound stone laid chest
1,#iremember when they used to hnd out power ranger toys w/ happy meals...speakin of power rangers i want my movie @prrivera07 haha jk ,use hnd power ranger toy w happi mealsspeakin power ranger want movi prrivera07 haha jk
0,"#haveyouever loved and lost somebody? wish there was a chance to say i'm sorry..  oh, i miss you terribly.",love lost somebodi wish chanc say im sorri oh miss terribl
1,#everybody knows ... everybody knows# that should definately be some kind of motivation to quit smoking i say ! ,know everybodi know defin kind motiv quit smoke say
0,    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..,like year one review ive read im disappoint mayb ill like sinc im expect much
0,     sry matt 2 hear that (,matt 2 hear
1, sitting at home,home
0, / I feel so ... ... Left out,feel left
0, I couldv'e taken a class from THE Ryan Feng... Sadness...Aw well! Ima learn from Mike Song and Tony Tran! Thassright people!,couldv taken class ryan feng sadnessaw well ima learn mike song toni tran thassright peopl
1, whatxhing tayg ,tayg
1,&quot;Everythings Magic!&quot; ,magicquot
0,#woscon09 officially over as of last night.  Those of us left are getting ready to head out to the airport.  ,offici last night us left get readi head airport
1, Everything went as planned!!! Now I have many many many new souvenirs from #Herschel and #Planck ,went plan mani mani mani new souvenir herschel planck
1,#listeningto ay hairatein from guru ,ay hairatein guru
1,#FirstRecord Crazy by Icehouse ...still love the song and the naband to this day ,crazi icehous still love song naband day
0, i don't feel good. I want some partyrings &amp;&amp; starbucks,feel good want partyr ampamp starbuck
1,#myweakness fantasy and fictional characters ,fantasi fiction charact
1, - she is amazing -- Bjork Ã¯Â¿Â½ Bachelorette ? http://blip.fm/~4lfyi,amaz bjork ã¯â¿â½ bachelorett httpblipfm4lfyi
1,#asot400 WOW &quot;hey boy...hey girl&quot;!! Mr. Sam is mashing the crap out of everything!! and owning the joint! hardhardhard! like much ,wow quothey boyhey girlquot mr sam mash crap everyth own joint hardhardhard like much
1, happy. spending time with mum,spend time mum
1,#readathon Have blogged and cheered. Off to bed with the Hobbit. Expect accidental sleeping to occur. See you all tomorrow. ,blog cheer bed hobbit expect accident sleep occur see tomorrow
0, Bus only just arrived. was sposed to be here 25 mins ago. Cant wait till i can drive again so i dnt have to rely on busses.,arriv spose 25 min ago cant wait till drive dnt reli buss
1,"&gt;&gt; looks rubbish.. Oh well, content over appearance, right? ",look rubbish oh well content appear right
1,#myweakness - my daughters smile ,daughter smile
0,#F1 I concur with the boos on SC start. It's not as though there will be any field spread to make it any safer in a few laps  Just race.,concur boo sc start though field spread make safer lap race
0, i no feels good today,feel good today
1, How to Tell if Your Son is Gay? [PIC]: http://digg.com/d1tpPB?t,tell son gay pic httpdiggcomd1tppbt
0," I did not get to see Beth, Rachel or Ginny today.... I'll see them tomorrow.",get see beth rachel ginni today ill see tomorrow
0, lookin up strippin classes,strippin class
0, been a crappy day...,crappi day
1,#Twilight is a trending Topic? ohwellll ,trend topic ohwelll
0," so they took me off of iv pain meds &amp; gave me oral pill and what I drank, well didn't stay down  don't know what they will do now!",took iv pain med amp gave oral pill drank well stay know
1,&quot; mileycyrus i wanna perform with lady gaga one day  &quot; ..... my world would def be 'rocked',mileycyru wan na perform ladi gaga one day quot world would def rock
0, besides that great graduation day. I finaly made it I'm a highschool graduate ! Moms word .. Chapter close .. Keep pushing foward.,great graduat day finali made im highschool graduat mom word chapter close keep push foward
1,#WolframAlpha for Top Trumps http://bit.ly/1O28N  We beat Sydney on elevation ,top trump httpbitly1o28n beat sydney elev
0,=- Has obvisously Just lost the game yet again...,obvis lost game yet
0,"&amp; I get a text from everyone except the one person I really wanna talk to... Why did I fall so hard, so quick? ",get text everyon except one person realli wan na talk fall hard quick
0,"#E3 you people are lucky to watch it, I'm stuck at work ",peopl lucki watch im stuck work
0, thunder and lightning. One Thing I Am Scared Of. Even Bear Is Scared,lightn one thing scare even bear scare
0," Karine Ruby, &quot;former Olympic snowboarding champion dies at 31.&quot; http://bit.ly/uKRBg",rubi quotform olymp snowboard champion die 31quot httpbitlyukrbg
1,#jpop #jrock #musicmonday been rockin' out to this for hours  http://is.gd/AYri,jrock musicmonday rockin hour httpisgdayri
0, no &quot;the postal service&quot; on twitter.....,quotth postal servicequot twitter
0, i cried over jon and kate ... i think that makes me pretty lame haha,cri jon kate think make pretti lame haha
0," devistated, You'll forever be in my heart Joshua. Shine on soldier. I can't believe this.",youll forev heart joshua shine soldier believ
1, @dustincary yea I really wanna see a win for him at daytona,yea realli wan na see win daytona
0, Find it yet?,yet
0, Playoffs it is then,
1,"#dnd minions are nice, but building a wolfpack of minions is not a very fun idea. Sorry players, now, let's try some brutes and casters ",minion nice build wolfpack minion fun idea sorri player let tri brute caster
1,#FF @amous @bacieabbracci....because we're AWESOME &amp; FABULOUS ,amou bacieabbraccibecaus awesom amp fabul
0, no 1 follow me,1 follow
0, lost my pic there???,pic
1,#iremember my fav song  lol,fav song lol
0, so hungry. I'll attempt to sleep anyhow.,hungri ill attempt sleep anyhow
1, @krystynchong that's a lovely compliment. thx much! ,that love compliment thx much
0, i could be at a movie right now with someone...,could movi right someon
0,#iremember my highschool years  where i get to see my friends 5 days a week. (even though it was about 6 months ago) feels like ages!,highschool year get see friend 5 day week even though 6 month ago feel like age
0,#dontyouhate when you JUST painted yur nails and like a second later they get smudged ,paint yur nail like second later get smudg
0, broken bones suck,bone suck
1,#flylady Listening to the Focus Makes Me Fabulous show by FlyLady Tools on BlogTalkRadio - http://tobtr.com/s/549205 ,listen focu make fabul show flyladi tool blogtalkradio httptobtrcoms549205
1, da baby sleep now my gosh now its time 4 me 2 get sum rest b4 she gets up around 10am =(,babi sleep gosh time 4 2 get sum rest b4 get around 10am
1,"#followfriday: My favorite (public)  twitter feeds: @Rayke, @StarsGoDim, @Kawnar, @TFLN, @TomFelton, @KeatonSimons, @MichaelWittig ",favorit public twitter feed rayk starsgodim kawnar tfln tomfelton keatonsimon michaelwittig
0,#EFCA Now! Imagine Ayatollah Khamenei &amp; Ahmadinejad with nuclear weapons  Iranian democrats must pr.. http://tinyurl.com/l62qmt,imagin ayatollah khamenei amp ahmadinejad nuclear weapon iranian democrat must pr httptinyurlcoml62qmt
1,#btvsmb was so great today. Cool I got some new followers too. ,great today cool got new follow
1,  @ginaaa &lt;3 GO TO THE SHOW TONIGHT,lt3 go show tonight
1,&lt;wheezy&gt; http://bit.ly/o93ss  is jÃÂ³  - http://bit.ly/ZzSp7,httpbitlyo93ss jãâ³ httpbitlyzzsp7
0, i don't think i'll be able to wear my hair extensions all week i don't have enough time to put them on really busy week,think ill abl wear hair extens week enough time put realli busi week
0," im lonly, my friend emily just went home. lol. MISS U ALREADY! lol&lt;3",lonli friend emili went home lol miss u alreadi lollt3
1,&quot;I now pronounce you Second Class Citizens&quot; is a fresh post at http://bohica2k.com. Free second class citizen cake!  ,pronounc second class citizensquot fresh post httpbohica2kcom free second class citizen cake
1," @oliveshoot aw, sweet Leslie was tweeting luv last night!  You are my #1 and absolute FAVE!",aw sweet lesli tweet luv last night 1 absolut fave
1,&quot;Only&quot; one test left and then ready for summer vacations!!!!!!! can't wait - so tired ,one test left readi summer vacat wait tire
1," just noticed that it's #UnfollowSunday , we all know what that means",notic unfollowsunday know mean
0, I miss my cell phone ,miss cell phone
1,#asot400 interview time ,interview time
1, @LadyKeisha @scorpio510 thanx for the post &amp; the warm wishes.. enjoy ur day!,scorpio510 thanx post amp warm wish enjoy ur day
1,"&quot;Don't call me son. I'm a lawyer, and a naval officer. And you're under arrest, you son of a bitch! The witness is excused.&quot; Ã¢ÂÂ¥ this ",call son im lawyer naval offic your arrest son bitch wit excusedquot ã¢ââ¥
0, can't sleep. Have to be up at 6 in the am. Boo!  Go to sleep flor!!,sleep 6 boo go sleep flor
0," clouds rolling in, hard to believe I got a little sunburned today..",roll hard believ got littl sunburn today
0, being afraid of food is an eating disorder right?,afraid food eat disord right
1,"#Charlotte NC Rides i need a ride to pgh,pa! (huntersville): Hi, I'm sane.  I thought I sh.. http://tinyurl.c.. http://twurl.nl/m23j1d",nc ride need ride pghpa huntersvil hi im sane thought sh httptinyurlc httptwurlnlm23j1d
0,#haveyouever lost a twitter follower ,lost twitter follow
0, Revision ,
1,&gt;&gt;&gt;&gt;&gt;@Maineeventmnp he's the best ,he best
1, Ha I love you too betch.,love betch
1,&quot;LOSER&quot; is fastly becoming 1 of thee biggest songs on the net! Lets PRAY GEFFEN gives Tommy Lee @DJYODA2n9ne a VIDEO BUDGET ,fastli becom 1 thee biggest song net let pray geffen give tommi lee djyoda2n9n video budget
0,#haveyouever ...seen so much black when clicking on a trending topic...ohhh ohh look racist! ,seen much black click trend topicohhh ohh look racist
0, dis aint gud a heatstroke! ,aint gud heatstrok
0,"#haveyouever paid for your dates dinner? yeah, i did...  he was a cheapskate",paid date dinner yeah cheapskat
1,#myweakness F0OD iN GENERAL.. ,f0od gener
1,"#flylady Laundry and regular upkeep, that's it.  This is nice.  ",laundri regular upkeep that nice
0, why don't you careeeeeee?,careeeeee
0, nuggets out....,
1,#jonasnewsongs @jonasbrothers i love them! I have a feeling WW3 is gonna be my favorite song ever! ,jonasbroth love feel ww3 gon na favorit song ever
0, still walking... wish i knew what was wrong with me... now my throat is dry and my legs are numb,walk wish knew wrong throat dri leg numb
1,#followfriday @sharonhayes - my honorable #awesome queen .. and absolutely stunning positive person that became my true friend ,sharonhay honor awesom queen absolut stun posit person becam true friend
1,#charitytuesday @comfortdoll 1.take pic of band with comfort doll  2.auction pic on ebay 3.send proceeds to World Vision 4.no brainer ,comfortdol 1take pic band comfort doll 2auction pic ebay 3send proce world vision 4no brainer
1,- No wedding today. Relaxation NOW! ,wed today relax
1," hella people have no idea who I am... Hehehe, and no I'm not Lou nor @MicahMoney",peopl idea heheh im lou micahmoney
0,#140conf video stream slow - doesn't work in Canada ,video stream slow work canada
0," wish i could have gone bowling tonight, ahh well Dr chace! &lt;3",could gone bowl tonight ahh well dr chace lt3
1, i'm happy! went out for dinner at a posh place and food was wonderful. I love it when food is Wonderful!!!,happi went dinner posh place food wonder love food wonder
1," Thanks, I Love U! Did you ever notice the alarm doesn't know u want it to SNOOZE!",love u ever notic alarm know u want snooz
0, bored&amp;&amp;my foot is killing me. hopefully I can still go to sandhills this weekend!!making my RAMEN N00DLES so I can take my medicine. brb,foot kill hope still go sandhil weekendmak ramen n00dle take medicin brb
0,#microsoft == evil  The don't have coding for dummies over there?!,evil code dummi
1,"#3hotwords - Yes, I'm vegan ",ye im vegan
1,#EminemMouthfulofBoratAssFTW &lt;--the higlight of the show so far....other than Harry Potter preview. ,ltthe higlight show faroth harri potter preview
0, didnt sticth today cos was reading on wattpad LOL,sticth today co read wattpad lol
1,#followfriday @misshannahshae ,misshannahsha
1,   I have passed 70-542 exam today   ,pass 70542 exam today
0, damn it.,
1,#FollowFriday #NEPA @STM63 @Xris_ @mscholl21 @UNOlker @shelitwits @elidavis  @michellep @alohahula @TheCatcherOnRye ,nepa stm63 xri mscholl21 unolk shelitwit elidavi michellep alohahula thecatcheronry
0," today is the last day 4 me to play w/ my laptop,,, i gotto studiii hardiiiieee",last day 4 play w laptop gotto studiii hardiiiiee
0," I Shouldn't Have Came! Its Not The Same Without My Best Friend @TootsiiePop ...  I'm 4Real Y'all, I Miss My Sista.! I'm Bouta Cry ",came without best friend tootsiiepop im 4real yall miss sista im bouta cri
1, A blessed sunday everyone!,bless sunday everyon
0, @sommacolada never answering my im's,never answer im
1,"#whyitweet because it's new, fabulous, and fascinating.  did i mention that it's fun?",new fabul fascin mention fun
0,&quot; ...not academically of course. &quot; I miss him already ,academ cours quot miss alreadi
0," couples in public, slow love songs...  Im soo lonely ",public slow love song im soo lone
0, I really miss you. you don't understand how much you really mean to me.,realli miss understand much realli mean
1,&amp;&amp;the night continues!  w/ my fav mazie; kristina; ericka &amp;&amp; robin!,night continu w fav mazi kristina ericka ampamp robin
1, won our second game 14-3   ..KrÃ¯Â¿Â½kerÃ¯Â¿Â½y!,second game 143 krã¯â¿â½kerã¯â¿â½i
0, - Why must people be so picky. I mean 6 hours work and no dice!? whatÃ¯Â¿Â½s up with that! http://tumblr.com/xsg1m3ufn,must peopl picki mean 6 hour work dice whatã¯â¿â½ httptumblrcomxsg1m3ufn
1, happily falling head over heels for him &lt;3,fall head heel lt3
0, I'm having a homework fail right now. I wish I could stop time.,homework fail right wish could stop time
1,"#stuffwotimadeup Contact Big Brother to be a bb voice and you will! How fantastic, a bb fans dream ",contact big brother bb voic fantast bb fan dream
1,&lt;-- on everyone's Most Wanted list. I say  these outlandish things because they happen to be true. ,everyon want list say outlandish thing happen true
1,#hoppusday is the best day ever ,best day ever
1, lucky beggar you are @warothe,beggar waroth
1, Wants to kiss the sunbeams! I'm so excited it's summer 7 Days!,kiss sunbeam im excit summer 7 day
0, everyone from home is going to the beach today &amp; I'm stuck in philly,home go beach today amp im stuck philli
1, ok  good night @laurafstahl love ya,good night laurafstahl love ya
0, my mom's mean...,mom mean
1,#android metaldetector says my laptop has metal...and the laundry has not...accurate enough ,metaldetector say laptop metaland laundri notaccur enough
1,#followfriday evening! @flogance  @jonas_adorer  THANK YOU!,even floganc jonasador thank
0," - I feel irresponsible and sort of horrible. Marshmallows, unless otherwise stated, have gelatin. fuck... http://tumblr.com/xl21pafgm",feel irrespons sort horribl marshmallow unless otherwis state gelatin fuck httptumblrcomxl21pafgm
0, I just had to restore my iphone to its original settings...wtf apple...this sucks. I better not lose everything....,restor iphon origin settingswtf applethi suck better lose everyth
1, ok I hate the postman !,hate postman
0, i'm just having one of those nights where you feel hopeless.,one night feel hopeless
0, they hate yuh tooo yunq boy,hate yuh tooo yunq boy
0,#bookieb Oh no looks like I missed the whole thing. Timezone issues  Oh I hope I am sending this right lol,oh look like miss whole thing timezon issu oh hope send right lol
1,#dreamwidth invites are all gone for now! I'll offer up some more on here when I get them ,invit gone ill offer get
1,#myweekness ice cream!! any flavour I eat it everyday ,ice cream flavour eat everyday
1,"#followfriday - my daily tweeps  @jmbuckingham, @Shrewd_Boy, @thefrontloader, @digipug",daili tweep jmbuckingham shrewdboy thefrontload digipug
1,"#iphone #spotify I'm now able to run spotify on my iPhone, through a remote desktop session to my pc using Jaadu RDP. It works ",spotifi im abl run spotifi iphon remot desktop session pc use jaadu rdp work
1, i gotta remember to update more frequently i don't have my blackberry it was so much easier  how is everyone doing?,got ta rememb updat frequent blackberri much easier everyon
1,- He's a keeper for sure cuz the boi has even got me smilin n my sleep!    Wow!,he keeper sure cuz boi even got smilin n sleep wow
0, ..y everything is so hard? :/,everyth hard
0, I dontcthink I slept enough.,dontcthink slept enough
1,#UnfollowFriday @iamdiddy - jus because.  Lol New trend I'm starting....too much celeb dick riding on here. (Plus..I'm a hater) lol ,iamdiddi ju lol new trend im startingtoo much celeb dick ride plusim hater lol
0,#100pushups wk2 d3: 57 today - 3 short on the last set   But I lost track &amp; *might've* done an extra set of 10.,wk2 d3 57 today 3 short last set lost track amp mightv done extra set 10
0, No more witty #Squarespace Tweets...,witti squarespac tweet
0,#wheniwerealad I would pinch Ã¯Â¿Â½5 out of Dad's pocket and buy 100 lucky kids a bag of crisps each. Till I got caught ,would pinch ã¯â¿â½5 dad pocket buy 100 lucki kid bag crisp till got caught
1, Dream house!,hous
1,#musicmonday Bill Withers &quot;Lovely Day&quot; Ã¢ÂÂ« http://twt.fm/160641 A great song to lift anyone's spirits! Enjoy ,bill wither quotlov dayquot ã¢ââ « httptwtfm160641 great song lift anyon spirit enjoy
0, confused....,
1,#gradeSimpsonsGucker naja sobalds anfÃÂ¤ngt - #nowwatchingsimpsons well when it starts ,naja sobald anfãâ¤ngt nowwatchingsimpson well start
0, but i  love that show @ohai_audrey ...,love show ohaiaudrey
0,"   SOX!     Floyd was great, but relievers need a scolding!",floyd great reliev need scold
1,"#MQM has opted to strike, May 12th - Altaf bhai to unveil what really happened in #Karachi  http://tinyurl.com/c73ehq",opt strike may 12th altaf bhai unveil realli happen karachi httptinyurlcomc73ehq
0,#3wordsaftersex goodbye innocence!!! ,goodby innoc
0, my babe is super sick!,babe super sick
0,   can i have some followers :' ( ... i'm so sad...    NOW THAT I'M LOSING HOPE -pressure,follow im sad im lose hope pressur
0,#inaperfectworld I wouldn't need all this dental work  http://bit.ly/HiQYh,would need dental work httpbitlyhiqyh
1,"- @paul_a_smith - ooh, but Clean Sheet Day is awesome!! Woo!  hope you're feeling better now?",paulasmith ooh clean sheet day awesom woo hope your feel better
0, want my new mac! I'm getting impatient now!,new mac im get impati
0, so tight right now we shoulda won that but epic none the less had me on edge all game odom definitely puuled the clutch... Damnit lewis,tight right shoulda epic none less edg game odom definit puul clutch damnit lewi
0, i hurt so much :*( i wish i never went outside yesterday,hurt much wish never went outsid yesterday
0, i feel like my insides are slowly being torn from my body...,feel like insid slowli torn bodi
0,#e3 ... I feel so sorry for Abagail.  ,feel sorri abagail
1, 11:11 makee a wishhh ;)&lt;3 GOODNIGHT,make wishhh lt3 goodnight
1, hmm emotionless,emotionless
0, becomming a fan of bubble shirts...Haha they dont make me look as chubby ,fan bubbl shirtshaha dont make look chubbi
1, picking up new mcfly tickets at the venue. SO EFFING EXCITED. i nearly cried with relief. haha.,new mcfli ticket venu ef excit nearli cri relief haha
0,#SiriusXM still doesn't work on iPhone. Told me to &quot;give it another hour&quot; b/c they're having tech issues. That was 15 hours ago. ,still work iphon told quotgiv anoth hourquot bc theyr tech issu 15 hour ago
0, SUMONE KILL IT!!,kill
1,#iremember mork and mindy ,mork mindi
1,"&quot;I think that we learn to love, and learn what life is all about through service to others.&quot; - Isaac Hanson. Exactly why I love this band ",think learn love learn life servic othersquot isaac hanson exactli love band
0,"  &lt; that is the story of my life, a whole bunch of frownies!",stori life whole bunch frowni
1, SCHOOL IS OVER@@#@@! LETS GET READY TO RUMBLE@@#@!@!@!,let get readi rumbl
1,#musicmonday : Take'N it back up 2 now-a-days.. @Jimjonescapo 4 that Harlem movement. Not from Harlem but deff from N.Y. Kudos to JONESS ,taken back 2 nowaday jimjonescapo 4 harlem movement harlem deff ny kudo joness
1,"#1 son, altho spending weekend w his girlfriend who lives 1/2way across country &amp; he hasn't seen in months, took time to call his mommie ",son altho spend weekend w girlfriend live 12way across countri amp seen month took time call mommi
1,! am off to eat swiss food! shall be fun   good to spend a night with the boys &gt;&lt; /out,eat swiss food shall fun good spend night boy gtlt
1,&quot;baby.... don't blow me away&quot; ,blow awayquot
0," @YMPtweet @Spiral_galaxy but so badly no one does , i know that there is much more but that's what i got so far",spiralgalaxi badli one know much that got far
0,  baddest day eveer. ,day eveer
1, wakin up exactly where i wanna be...,exactli wan na
0, Whatever.,
0, my birdy lucky died this morning  its sooo sad ,birdi lucki die morn sooo sad
1,#3wordsaftersex: &quot;i cant move&quot; thats when its that good good ,quoti cant movequot that good good
1,"#FACup about to start. Who to support, Everton spearheaded by Aussie Tim Cahill or Chelsea managed by 'Aussie' Guss Hiddink ? ",start support everton spearhead aussi tim cahil chelsea manag aussi guss hiddink
0,#dontyouhate how ugly T.i.'s wife is? &amp; how the fk did she get a show? that's BET for ya ,ugli ti wife amp fk get show that bet ya
1,#followfriday More ladies  @girlygeekdom @acousticellejay @mernas @giacavalli @LittleUK @iphonegirl @Mia @m4rta @mistygirlph @the_anke,ladi girlygeekdom acousticellejay merna giacav littleuk iphonegirl mia m4rta mistygirlph theank
0, i hate lightening.,hate lighten
1,#followfriday - for Humorous - @Cynnergies  @weirdralph. Thanks for sharing laughs! ,humor cynnergi weirdralph thank share laugh
1, recess!!!,
0, this sucks....never ever ever felt like this!,sucksnev ever ever felt like
0, No one is updatinggggggg /cry,one updatinggggggg cri
0,  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade,gigi4462 ex husband overdos daili dose haterad
1,#mr_bailey is being awsome and letting us listen to music ,awsom let us listen music
0, So sad! Praying no one we knew was in that flight. http://snipr.com/j7c9z,sad pray one knew flight httpsniprcomj7c9z
1,&amp; i got a costco card.  DAY1.,got costco card day1
1,#FF: @DAKIDYUNGV my travel partner. We are going to Costa Rica together soon! ,dakidyungv travel partner go costa rica togeth soon
1, dance flick was hilariouss!!!,flick hilariouss
0, i miss my boys....,miss boy
0, Dt exam tomo .... Doing revsion now  !,exam tomo revsion
1,"&quot;name please&quot; &quot;Dawson, Rose Dawson&quot; aweee sooo cute  i fcking love this movie!!! XD",pleasequot quotdawson rose dawsonquot awee sooo cute fcking love movi xd
1,#myweakness Zac Efron ,zac efron
0,- im hungry...but there's no food at mah house. ,im hungrybut there food mah hous
0,"#squarespace helped me set up my Garmin 405... #circlevoid made Garmin's servers screw up, so I can't sync it. ",help set garmin 405 circlevoid made garmin server screw sync
1,"!@cway1979 Thanks boo, I appreciate it. ",thank boo appreci
1,&quot;battery state changed to low&quot; that means about 1 minute of tweeting ,state chang lowquot mean 1 minut tweet
0,#asylm we'll never ever see jensen with real glasses  again  he just had eye surgary,well never ever see jensen real glass eye surgari
0,#inaperfectworld bruce willis would come on ichat for me ,bruce willi would come ichat
0, i just hit my head gettiing into the car,hit head getti car
1,#followfriday A great person all around @gaylejack.  ,great person around gaylejack
0, grace u suck! U know I know we know....,u suck u know know know
0, sooooo bored dont no what to do... any ideas?,bore dont idea
0,"  still no phone. bukas pa raw in the afternoon...  oh well, i survived 7 days, what's one more... day...  another day, another destiny",phone buka pa raw afternoon oh well surviv 7 day what one day anoth day anoth destini
1,"#Otalia  http://bit.ly/19IbZn   || Look at those numbers  no. 1 fanbase, hell yeah!!!",httpbitly19ibzn look number 1 fanbas hell yeah
1,#apprentice sir alan is willy wonka  he he,sir alan willi wonka
0,#jonaskevin  i think he 4got 2 come #jonaskevin #jonaskevin,think 4got 2 come jonaskevin jonaskevin
0,"&lt;&lt; Planet Terror &lt;&lt; pizza, oj, and sleep....and that's it ",planet terror ltlt pizza oj sleepand that
0, SHOOOT ME.,
1,#myweakness : shopping and my series ,shop seri
0, I don't want a million followers and sending out the exact same tweet is annoying. How can people with 0 updates have followers? So sad.,want million follow send exact tweet annoy peopl 0 updat follow sad
1,#thingsmummysaid &quot;I'm not going to tell you again.&quot; its about time ,quotim go tell againquot time
0, i hate the cold weather.,hate cold weather
1,#followfriday @LBOI @cameron_crazy thanks for the #ff luv  hope you have a great weekend,lboi cameroncrazi thank ff luv hope great weekend
1, With Mak. (the one that cant ride the bike) jk jk,mak one cant ride bike jk jk
0,!linuxoutlaws podcast feed is messed up .. i keep getting some Tiger Records BS in its stead or is it just me ,podcast feed mess keep get tiger record bs stead
1,#house kinda wins #leesan. i probably go with house season one ,kinda win leesan probabl go hous season one
0," I'm mad at myself, I haven't stopped smoking yet. Haven't actually bought any but I know too many people who smoke...",mad stop smoke yet actual bought know mani peopl smoke
1, i agree @OasisStasis http://ff.im/2dojM,agre oasisstasi httpffim2dojm
0, again..cause india is definitely out.. ==,india definit
1, lub you too baby!,babi
1,#FollowFriday @michaeldunlop @ShaneNeubauer @adii @DesignNewz @adellecharles @DesignerDepot @Jason_Reed = Some amazing ppl I follow ,michaeldunlop shaneneubau adii designnewz adellecharl designerdepot jasonre amaz ppl follow
1,#followfriday pt3 @BlowhornOz @bikinifreak @Jenniewrenbird @eric_from_aleks @jennygirl7 @SECURITYJ @sabrinacoffin @Tweet_Words follow! &lt;3 ,pt3 blowhornoz bikinifreak jenniewrenbird ericfromalek jennygirl7 securityj sabrinacoffin tweetword follow lt3
0, no chance...,chanc
0, sims 3 is messing up abit....,3 mess abit
1,#followfriday @marginatasnaily @marginatasnaily @marginatasnaily @marginatasnaily @marginatasnaily @marginatasnaily @marginatasnaily  lol ,marginatasnaili marginatasnaili marginatasnaili marginatasnaili marginatasnaili marginatasnaili marginatasnaili lol
1,#harpersglobe ,
0, nyaaaaaa christina is gointa die of boredom  and she still wants to go to newry. &gt;.&lt; and dan is gayyyyyyy &gt;.&gt;,christina gointa die boredom still want go newri gtlt dan gayyyyyyy gtgt
0,#FULLSERVICE ! MY HUMAN WILL BE AT ILAA THIS SUNDAY! I wish she would take me with her ,human ilaa sunday wish would take
0,               just practising.....how I feel       ,practisinghow feel
1,!!  youre a jerk.. he knows. (-:,your jerk know
0," downloaded one movie yesterday and having some problem with that ,  i thnk i deserve that...",one movi yesterday problem thnk deserv
1,#andyclemmensen #bradiewebb #shaundiviney #andyclemmensen #bradiewebb #shaundiviney #andyclemmensen ,bradiewebb shaundiviney andyclemmensen bradiewebb shaundiviney andyclemmensen
1,&quot;...impact on the lives of those that you've come across...I thank the Lord every day 4 He has put u in my my life  I can't wait til u..&quot;,live youv come acrossi thank lord everi day 4 put u life wait til uquot
0, .........not really a good night guys ! buu huu,realli good night guy buu huu
0," I missed the second annual zombie walk in chicago, this past saturday. Damn it Damn it Damn it. I was so wanting to do that this year",miss second annual zombi walk chicago past saturday damn damn damn want year
0,  so bored,bore
0, i need some friends,need friend
0, I've got to work in 5 hrs and I don't want to leave this party.,got work 5 hr want leav parti
0, stupid puppy kept me up all night only had 3 hrs sleep,puppi kept night 3 hr sleep
0, i want to get out of sm riiight now. it is draining my soul,want get sm riiight drain soul
1, very successful night.,success night
0, the #net is so #slow on #neotel in #sandton #neotelsucks #fail,net slow neotel sandton neotelsuck fail
0, anyone know if Ghostbusters is region free on 360?? and where to get a US copy in Britain if it is,know ghostbust region free 360 get us copi britain
0, - i just spilt the last of my jordans cereal on the floor iÃ¢ÂÂm distraught http://tumblr.com/xxw2329lh,spilt last jordan cereal floor iã¢ââm distraught httptumblrcomxxw2329lh
0, there's so much music i want to have... horrible. i feel like i have done so many things today... but i haven't.. i love my bleached hair,much music want horribl feel like done mani thing today love bleach hair
0, stupid shit.,shit
0,"#Tweetdeck just crashed  back to faithful Tweetie - loving the copy/paste and updated SMS, much better!",crash back faith tweeti love copypast updat sm much better
1,"&quot;i can't help it, i like to party&quot; how i can soo relate to Pink's Bad Influence. ",help like partyquot soo relat pink bad influenc
1,"#iremember having zero followers yesterday, and now it's 51  Follow me? Thanks!",zero follow yesterday 51 follow thank
